id,text
1,"Sandwich Box"
2,"Wolfies"
3,"Lime Tree"
4,"Munchies"
5,"Bar and Wok"
6,"KFC"
7,"Yo Sushi"
8,"Greggs"
9,"Burger Star"
10,"Farmhouse kitchen"
11,"Waitrose"
12,"Fresh Crust"
13,"Boots"
14,"Papparito's"
15,"Charlies chippy"
16,"Prezzo"
17,"Pizza Express"
18,"Swallow Bakery"
19,"Bayshill"
20,"Gridiron"
21,"Sainsbury's"
22,"Tesco"
23,"McDonald's"
24,"Chelsea Brasserie"
25,"Hotel du vin"
26,"Malmaison"
27,"Nando's"
28,"Skip lunch and order cakes from @cakeoftheday"
29,"Simpson's Chippy"
30,"Popeye's Chippy"
31,"Burger King"
32,"The Cocunut Tree"
33,"Turtle Bay"
34,"Kibou"
35,"Wakame"
36,"Muse Brasserie"
37,"Petit Coco Bistro"
38,"Grill 49"
39,"Primavera Ristorante"
40,"Carluccio's"
41,"The Tavern"
42,"The Vine"
43,"Chikenzo"
44,"wagamama"
45,"The Bottle of Sauce"
46,"The BigFish"
47,"Zizzi"
48,"The Fire Station"
49,"Morans"
50,"Ginger and Garlic"
51,"The Ivy"
52,"Gianni Ristorante"
53,"Thai Emerald"
54,"Giggling Squid"
55,"The Beehive"
56,"All Bar One"
57,"Brasserie Blanc"
58,"The Railway"
59,"Five Guys"
60,"Brewhouse and Kitchen"
61,"Cosy Club"
62,"The Swan"
63,"Holee Cow"
64,"Go Peri"
65,"Lumiere"
66,"Prithvi"
67,"The Botanist"
68,"Falafel King"
69,"German Doner Kebab"
70,"The Langton"
71,"Bella Italia"
